2025-05-07 20:07:57.662187, XF6N0R4, admin, login
2025-05-07 20:10:29.221244, XF6N0R4, admin, count_visits
2025-05-07 20:13:13.927344, W3PHXNA, nurse, login
2025-05-07 20:13:29.904220, W3PHXNA, nurse, retrieve_patient
2025-05-07 20:13:47.772936, W3PHXNA, nurse, retrieve_patient
2025-05-07 20:14:23.728237, W3PHXNA, nurse, view_note
2025-05-07 20:15:54.093730, W3PHXNA, nurse, add_patient
2025-05-07 20:16:39.597402, W3PHXNA, nurse, remove_patient
2025-05-07 20:34:31.032754, W3PHXNA, nurse, login
2025-05-07 20:34:46.369166, W3PHXNA, nurse, retrieve_patient
2025-05-07 20:38:20.552823, USOOUA9, management, login
2025-05-07 20:40:07.256864, USOOUA9, management, login
2025-05-07 20:47:12.183101, USOOUA9, management, login
2025-05-07 20:47:20.408269, USOOUA9, management, generate_statistics
2025-05-07 20:48:48.879463, USOOUA9, management, login
2025-05-07 20:49:09.566817, W3PHXNA, nurse, login
2025-05-07 20:49:17.744424, W3PHXNA, nurse, retrieve_patient
2025-05-07 20:55:08.859869, W3PHXNA, nurse, login
2025-05-07 20:55:19.224798, W3PHXNA, nurse, retrieve_patient
2025-05-07 21:02:53.761216, W3PHXNA, nurse, login
2025-05-07 21:03:05.340243, W3PHXNA, nurse, retrieve_patient
2025-05-07 21:05:07.164237, W3PHXNA, nurse, login
2025-05-07 21:05:16.844098, W3PHXNA, nurse, retrieve_patient
2025-05-07 21:10:26.047813, W3PHXNA, nurse, login
2025-05-07 21:10:31.690643, W3PHXNA, nurse, retrieve_patient
2025-05-08 20:06:22.591718, XF6N0R4, admin, login
2025-05-08 20:07:09.416781, XF6N0R4, admin, count_visits
2025-05-08 20:08:24.419585, USOOUA9, management, login
2025-05-08 20:08:34.615481, USOOUA9, management, generate_statistics
2025-05-08 20:09:10.127639, W3PHXNA, nurse, login
2025-05-08 20:09:47.394403, W3PHXNA, nurse, view_note
2025-05-08 20:09:58.564226, W3PHXNA, nurse, retrieve_patient
2025-05-08 20:10:47.213753, W3PHXNA, nurse, add_patient
2025-05-08 20:11:19.612162, W3PHXNA, nurse, remove_patient
2025-05-08 20:26:28.042052, W3PHXNA, nurse, login
2025-05-08 20:27:13.551818, test, Unknown, failed_login
